"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1224",571578,"Patrick Corbin","3299","37.1","0.158","0.108","0.306","0.266","0.200","0.203","0.155","47","297","88.1","11.3","2398","81.7","81.26","342","658","556","-0.4","5.96","109","150","114","147","302","316","295"
"1091",571510,"Matthew Boyd","3118","35.0","0.189","0.150","0.299","0.339","0.245","0.246","0.189","48","254","88.2","11.6","2377","79.6","79.11","225","516","572","-0.5","5.82","107","150","115","147","299","329","291"
"1022",594798,"Jacob deGrom","3297","31.0","0.186","0.090","0.265","0.276","0.220","0.233","0.197","54","290","83.7","7.7","2454","92.5","93.63","202","569","440","1.1","6.70","113","150","112","146","296","314","293"
"1006",477132,"Clayton Kershaw","2672","37.6","0.216","0.139","0.291","0.355","0.262","0.286","0.233","64","296","91.0","5.8","2668","86.9","86.30","216","633","368","-0.6","5.80","111","155","113","145","297","316","291"
"1000",547888,"Masahiro Tanaka","2787","35.9","0.187","0.132","0.254","0.319","0.233","0.256","0.204","48","257","86.5","17.4","2390","83.3","81.89","166","484","515","-1.4","5.43","108","153","115","149","294","326","290"
"964",468504,"Jhoulys Chacin","1945","49.6","0.214","0.163","0.281","0.377","0.288","0.285","0.218","46","215","85.8","23.0","2354","79.8","78.42","110","429","527","-1.4","5.27","110","157","117","152","298","319","294"
"947",519242,"Chris Sale","2466","38.4","0.197","0.121","0.351","0.318","0.263","0.245","0.170","44","223","86.5","17.1","2492","79.0","77.64","167","464","468","-1.4","5.53","107","150","115","149","287","322","286"
"941",592662,"Robbie Ray","3064","30.7","0.221","0.203","0.325","0.424","0.304","0.300","0.210","51","231","87.9","12.3","2145","84.2","83.86","216","488","452","-0.3","5.96","112","152","118","151","301","328","302"
"940",573186,"Marcus Stroman","3047","30.9","0.168","0.071","0.243","0.239","0.191","0.233","0.197","40","238","87.0","8.8","2838","85.7","84.42","159","450","487","-1.3","5.35","111","153","117","148","301","319","296"
"929",434378,"Justin Verlander","3448","26.9","0.119","0.102","0.174","0.220","0.162","0.181","0.146","35","295","82.5","13.1","2612","87.5","86.89","231","578","349","-0.6","5.83","113","156","121","151","291","316","296"
"876",656427,"Jack Flaherty","3179","27.6","0.184","0.140","0.284","0.324","0.244","0.225","0.168","38","207","82.2","14.6","2381","84.8","85.01","214","471","403","0.2","6.30","111","151","112","149","298","320","297"
"867",596001,"Jakob Junis","2926","29.6","0.152","0.080","0.267","0.232","0.201","0.223","0.153","36","237","87.0","13.3","2522","82.4","81.09","154","403","458","-1.3","5.38","111","150","123","142","301","325","304"
"854",669456,"Shane Bieber","3332","25.6","0.208","0.122","0.301","0.330","0.244","0.245","0.210","46","221","88.8","14.9","2370","85.0","85.22","200","460","392","0.2","6.11","110","152","117","149","292","312","287"
"851",641745,"Brad Keller","2711","31.4","0.194","0.121","0.245","0.316","0.231","0.256","0.212","40","206","90.2","7.6","2510","84.9","83.80","107","363","485","-1.1","5.36","111","151","120","140","302","325","304"
"840",592761,"Caleb Smith","2661","31.6","0.224","0.179","0.282","0.403","0.280","0.292","0.221","45","201","87.5","17.7","2297","83.5","81.50","129","416","421","-2.0","4.86","106","155","116","148","301","325","296"
"795",592351,"Jon Gray","2373","33.5","0.183","0.114","0.294","0.297","0.221","0.228","0.197","40","219","85.6","12.4","2220","88.3","88.18","178","432","360","-0.1","5.90","113","153","115","148","306","332","306"
"790",621107,"Zach Eflin","2571","30.7","0.260","0.130","0.298","0.390","0.297","0.303","0.255","46","177","88.8","15.5","2247","87.1","87.31","84","378","407","0.2","6.21","111","151","116","150","299","323","295"
"778",543037,"Gerrit Cole","3362","23.1","0.187","0.130","0.265","0.317","0.221","0.219","0.185","43","230","85.8","9.4","2622","89.2","88.87","168","421","357","-0.3","5.90","111","154","120","150","291","316","295"
"766",628317,"Kenta Maeda","2433","31.5","0.158","0.131","0.209","0.288","0.211","0.218","0.174","35","222","83.4","22.1","2514","83.5","82.72","172","423","337","-0.8","5.65","110","155","114","145","299","317","289"
"744",502042,"Chris Archer","2098","35.5","0.233","0.146","0.357","0.379","0.302","0.299","0.228","48","206","86.4","12.8","2613","88.7","87.71","177","419","321","-1.0","5.39","109","149","122","148","307","324","299"
"743",663423,"Trent Thornton","2759","26.9","0.228","0.128","0.322","0.356","0.258","0.256","0.215","41","180","87.4","15.7","3089","80.5","78.93","98","308","434","-1.6","5.30","109","153","120","148","305","326","300"
