"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"612",663903,"Brady Singer","1071","57.1","0.230","0.082","0.298","0.311","0.286","0.294","0.224","28","122","88.5","9.9","2241","93.3","94.19","44","239","370","0.9","6.65","112","158","117","147","301","329","301"
"575",664285,"Framber Valdez","1049","54.8","0.326","0.094","0.336","0.420","0.338","0.358","0.306","45","138","92.6","-2.8","2255","93.1","92.57","33","262","309","-0.5","5.94","111","154","116","149","292","321","301"
"478",594835,"Marco Gonzales","1057","45.2","0.195","0.062","0.244","0.257","0.204","0.272","0.257","22","113","86.4","21.1","2160","88.2","88.71","36","215","261","0.5","6.63","108","156","119","147","297","326","292"
"471",621107,"Zach Eflin","913","51.6","0.310","0.159","0.418","0.469","0.358","0.295","0.241","35","113","85.9","-1.3","2084","93.7","94.48","41","219","251","0.8","6.80","110","152","117","148","294","324","296"
"445",669160,"Dustin May","866","51.4","0.272","0.175","0.267","0.447","0.327","0.373","0.327","28","103","90.6","2.9","2411","97.9","98.12","23","201","243","0.2","6.50","110","160","116","149","296","320","293"
"445",605200,"Zach Davies","1055","42.2","0.264","0.138","0.303","0.402","0.325","0.377","0.287","23","87","89.0","9.4","2056","88.4","88.18","13","127","317","-0.2","6.12","116","151","132","146","307","332","313"
"441",640455,"Sean Manaea","812","54.3","0.296","0.148","0.333","0.443","0.328","0.318","0.287","34","115","91.8","9.6","1879","90.4","91.96","31","197","242","1.6","7.20","108","150","121","149","303","327","299"
"419",519144,"Rick Porcello","983","42.6","0.324","0.162","0.392","0.486","0.369","0.333","0.281","34","105","88.5","13.0","2146","90.1","89.63","15","180","234","-0.5","5.99","111","149","122","142","297","322","293"
"417",656954,"Justus Sheffield","880","47.4","0.304","0.054","0.355","0.359","0.341","0.353","0.299","28","92","89.8","4.2","1941","91.8","91.22","22","166","249","-0.6","5.96","107","154","121","147","296","328","288"
"404",502043,"Kyle Gibson","1139","35.5","0.362","0.181","0.398","0.543","0.433","0.409","0.330","38","105","90.4","3.8","2130","92.2","93.02","18","157","243","0.8","6.73","105","153","114","148","303","320","290"
