"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"436",605200,"Zach Davies","1055","41.3","0.176","0.154","0.211","0.331","0.225","0.295","0.254","24","136","83.1","13.1","1728","79.4","79.10","92","256","180","-0.3","6.12","112","151","134","145","305","331","312"
"409",608337,"Lucas Giolito","1214","33.7","0.157","0.112","0.226","0.270","0.251","0.243","0.161","14","89","80.4","11.2","1414","80.9","81.62","99","239","170","0.7","6.68","111","150","115","150","297","321","297"
"346",622491,"Luis Castillo","1153","30.0","0.205","0.154","0.339","0.359","0.272","0.227","0.170","24","117","82.5","5.4","1949","88.2","86.71","85","212","134","-1.5","5.43","117","155","122","151","291","319","291"
"336",543294,"Kyle Hendricks","1162","28.9","0.228","0.105","0.276","0.333","0.241","0.218","0.211","26","114","81.5","10.4","2064","79.7","79.31","62","208","127","-0.4","5.84","111","157","117","149","289","325","296"
"315",542881,"Tyler Anderson","954","33.0","0.214","0.092","0.263","0.306","0.256","0.277","0.236","21","98","84.2","17.7","2004","80.9","80.61","52","160","154","-0.3","6.03","105","152","115","145","301","320","290"
"315",547943,"Hyun Jin Ryu","1132","27.8","0.185","0.076","0.221","0.261","0.219","0.260","0.233","17","92","85.6","6.9","1479","79.6","80.25","57","186","128","0.7","6.70","102","152","119","146","300","313","286"
"314",605400,"Aaron Nola","1148","27.4","0.225","0.070","0.333","0.296","0.246","0.241","0.231","16","71","82.5","-6.3","1518","84.9","85.62","62","172","142","0.7","6.76","112","153","120","149","297","326","295"
"308",471911,"Carlos Carrasco","1101","28.0","0.253","0.114","0.321","0.367","0.309","0.284","0.222","20","79","87.0","-2.5","1382","87.7","88.73","59","170","136","1.0","6.61","109","154","117","150","292","320","293"
"308",456501,"Johnny Cueto","1145","26.9","0.125","0.100","0.157","0.225","0.220","0.279","0.205","10","80","86.3","9.7","1333","82.5","81.90","48","148","160","-0.6","5.84","110","160","119","149","296","322","298"
"307",657277,"Logan Webb","998","30.8","0.230","0.149","0.286","0.378","0.290","0.295","0.253","17","74","88.4","1.8","1614","84.7","78.88","42","148","157","-5.8","6.51","108","155","116","149","297","323","298"
